,Year,Month,UNR,Date
0,1957,1,—,1957-01-01
1,1957,2,—,1957-02-01
2,1957,3,—,1957-03-01
3,1957,4,—,1957-04-01
4,1957,5,—,1957-05-01
5,1957,6,4.5,1957-06-01
6,1957,7,4.2,1957-07-01
7,1957,8,4.2,1957-08-01
8,1957,9,4.3,1957-09-01
9,1957,10,4.6,1957-10-01
10,1957,11,5.1,1957-11-01
11,1957,12,5.2,1957-12-01
12,1958,1,5.8,1958-01-01
13,1958,2,6.7,1958-02-01
14,1958,3,7.0,1958-03-01
15,1958,4,7.5,1958-04-01
16,1958,5,7.2,1958-05-01
17,1958,6,6.8,1958-06-01
18,1958,7,7.3,1958-07-01
19,1958,8,7.6,1958-08-01
20,1958,9,7.2,1958-09-01
21,1958,10,7.1,1958-10-01
22,1958,11,5.9,1958-11-01
23,1958,12,6.1,1958-12-01
24,1959,1,6.0,1959-01-01
25,1959,2,6.1,1959-02-01
26,1959,3,5.8,1959-03-01
27,1959,4,5.3,1959-04-01
28,1959,5,4.9,1959-05-01
29,1959,6,4.9,1959-06-01
30,1959,7,5.1,1959-07-01
31,1959,8,5.5,1959-08-01
32,1959,9,5.6,1959-09-01
33,1959,10,6.0,1959-10-01
34,1959,11,5.6,1959-11-01
35,1959,12,5.2,1959-12-01
36,1960,1,5.2,1960-01-01
37,1960,2,4.8,1960-02-01
38,1960,3,5.4,1960-03-01
39,1960,4,5.0,1960-04-01
40,1960,5,4.9,1960-05-01
41,1960,6,5.5,1960-06-01
42,1960,7,5.4,1960-07-01
43,1960,8,5.9,1960-08-01
44,1960,9,5.7,1960-09-01
45,1960,10,6.4,1960-10-01
46,1960,11,6.3,1960-11-01
47,1960,12,6.8,1960-12-01
48,1961,1,6.6,1961-01-01
49,1961,2,6.8,1961-02-01
50,1961,3,6.9,1961-03-01
51,1961,4,6.8,1961-04-01
52,1961,5,6.9,1961-05-01
53,1961,6,6.8,1961-06-01
54,1961,7,6.9,1961-07-01
55,1961,8,6.9,1961-08-01
56,1961,9,6.8,1961-09-01
57,1961,10,6.8,1961-10-01
58,1961,11,6.1,1961-11-01
59,1961,12,6.1,1961-12-01
60,1962,1,5.8,1962-01-01
61,1962,2,5.6,1962-02-01
62,1962,3,5.5,1962-03-01
63,1962,4,5.5,1962-04-01
64,1962,5,5.4,1962-05-01
65,1962,6,5.5,1962-06-01
66,1962,7,5.3,1962-07-01
67,1962,8,5.8,1962-08-01
68,1962,9,5.8,1962-09-01
69,1962,10,5.5,1962-10-01
70,1962,11,5.8,1962-11-01
71,1962,12,5.6,1962-12-01
72,1963,1,5.8,1963-01-01
73,1963,2,6.1,1963-02-01
74,1963,3,5.6,1963-03-01
75,1963,4,5.7,1963-04-01
76,1963,5,5.9,1963-05-01
77,1963,6,5.7,1963-06-01
78,1963,7,5.6,1963-07-01
79,1963,8,5.5,1963-08-01
80,1963,9,5.6,1963-09-01
81,1963,10,5.5,1963-10-01
82,1963,11,5.9,1963-11-01
83,1963,12,5.5,1963-12-01
84,1964,1,5.6,1964-01-01
85,1964,2,5.4,1964-02-01
86,1964,3,5.4,1964-03-01
87,1964,4,5.4,1964-04-01
88,1964,5,5.1,1964-05-01
89,1964,6,5.3,1964-06-01
90,1964,7,4.9,1964-07-01
91,1964,8,5.1,1964-08-01
92,1964,9,5.2,1964-09-01
93,1964,10,5.2,1964-10-01
94,1964,11,5.0,1964-11-01
95,1964,12,4.9,1964-12-01
96,1965,1,4.8,1965-01-01
97,1965,2,5.0,1965-02-01
98,1965,3,4.7,1965-03-01
99,1965,4,4.9,1965-04-01
100,1965,5,4.6,1965-05-01
101,1965,6,4.7,1965-06-01
102,1965,7,4.5,1965-07-01
103,1965,8,4.5,1965-08-01
104,1965,9,4.4,1965-09-01
105,1965,10,4.3,1965-10-01
106,1965,11,4.2,1965-11-01
107,1965,12,4.1,1965-12-01
108,1966,1,4.0,1966-01-01
109,1966,2,3.7,1966-02-01
110,1966,3,3.8,1966-03-01
111,1966,4,3.7,1966-04-01
112,1966,5,4.0,1966-05-01
113,1966,6,4.0,1966-06-01
114,1966,7,3.9,1966-07-01
115,1966,8,3.9,1966-08-01
116,1966,9,3.8,1966-09-01
117,1966,10,3.9,1966-10-01
118,1966,11,3.7,1966-11-01
119,1966,12,3.8,1966-12-01
120,1967,1,3.7,1967-01-01
121,1967,2,3.7,1967-02-01
122,1967,3,3.6,1967-03-01
123,1967,4,3.7,1967-04-01
124,1967,5,3.8,1967-05-01
125,1967,6,4.0,1967-06-01
126,1967,7,3.9,1967-07-01
127,1967,8,3.8,1967-08-01
128,1967,9,4.1,1967-09-01
129,1967,10,4.3,1967-10-01
130,1967,11,3.9,1967-11-01
131,1967,12,3.7,1967-12-01
132,1968,1,3.5,1968-01-01
133,1968,2,3.7,1968-02-01
134,1968,3,3.6,1968-03-01
135,1968,4,3.5,1968-04-01
136,1968,5,3.5,1968-05-01
137,1968,6,3.8,1968-06-01
138,1968,7,3.7,1968-07-01
139,1968,8,3.5,1968-08-01
140,1968,9,3.6,1968-09-01
141,1968,10,3.6,1968-10-01
142,1968,11,3.3,1968-11-01
143,1968,12,3.3,1968-12-01
144,1969,1,3.3,1969-01-01
145,1969,2,3.3,1969-02-01
146,1969,3,3.4,1969-03-01
147,1969,4,3.5,1969-04-01
148,1969,5,3.5,1969-05-01
149,1969,6,3.4,1969-06-01
150,1969,7,3.6,1969-07-01
151,1969,8,3.5,1969-08-01
152,1969,9,4.0,1969-09-01
153,1969,10,3.9,1969-10-01
154,1969,11,3.4,1969-11-01
155,1969,12,3.4,1969-12-01
156,1970,1,3.9,1970-01-01
157,1970,2,4.2,1970-02-01
158,1970,3,4.4,1970-03-01
159,1970,4,4.8,1970-04-01
160,1970,5,5.0,1970-05-01
161,1970,6,4.7,1970-06-01
162,1970,7,5.0,1970-07-01
163,1970,8,5.1,1970-08-01
164,1970,9,5.5,1970-09-01
165,1970,10,5.6,1970-10-01
166,1970,11,5.8,1970-11-01
167,1970,12,6.0,1970-12-01
168,1971,1,6.0,1971-01-01
169,1971,2,5.8,1971-02-01
170,1971,3,6.0,1971-03-01
171,1971,4,6.1,1971-04-01
172,1971,5,6.2,1971-05-01
173,1971,6,5.6,1971-06-01
174,1971,7,5.8,1971-07-01
175,1971,8,6.1,1971-08-01
176,1971,9,6.0,1971-09-01
177,1971,10,5.8,1971-10-01
178,1971,11,6.0,1971-11-01
179,1971,12,6.1,1971-12-01
180,1972,1,5.9,1972-01-01
181,1972,2,5.7,1972-02-01
182,1972,3,5.9,1972-03-01
183,1972,4,5.9,1972-04-01
184,1972,5,5.9,1972-05-01
185,1972,6,5.5,1972-06-01
186,1972,7,5.5,1972-07-01
187,1972,8,5.6,1972-08-01
188,1972,9,5.5,1972-09-01
189,1972,10,5.5,1972-10-01
190,1972,11,5.2,1972-11-01
191,1972,12,5.2,1972-12-01
192,1973,1,5.0,1973-01-01
193,1973,2,5.1,1973-02-01
194,1973,3,5.0,1973-03-01
195,1973,4,5.0,1973-04-01
196,1973,5,5.0,1973-05-01
197,1973,6,4.8,1973-06-01
198,1973,7,4.7,1973-07-01
199,1973,8,4.8,1973-08-01
200,1973,9,4.8,1973-09-01
201,1973,10,4.5,1973-10-01
202,1973,11,4.7,1973-11-01
203,1973,12,4.9,1973-12-01
204,1974,1,5.2,1974-01-01
205,1974,2,5.2,1974-02-01
206,1974,3,5.1,1974-03-01
207,1974,4,5.0,1974-04-01
208,1974,5,5.2,1974-05-01
209,1974,6,5.2,1974-06-01
210,1974,7,5.3,1974-07-01
211,1974,8,5.4,1974-08-01
212,1974,9,5.8,1974-09-01
213,1974,10,6.0,1974-10-01
214,1974,11,6.5,1974-11-01
215,1974,12,7.1,1974-12-01
216,1975,1,8.2,1975-01-01
217,1975,2,8.2,1975-02-01
218,1975,3,8.7,1975-03-01
219,1975,4,8.9,1975-04-01
220,1975,5,9.2,1975-05-01
221,1975,6,8.6,1975-06-01
222,1975,7,8.4,1975-07-01
223,1975,8,8.4,1975-08-01
224,1975,9,8.3,1975-09-01
225,1975,10,8.6,1975-10-01
226,1975,11,8.3,1975-11-01
227,1975,12,8.3,1975-12-01
228,1976,1,7.8,1976-01-01
229,1976,2,7.6,1976-02-01
230,1976,3,7.5,1976-03-01
231,1976,4,7.5,1976-04-01
232,1976,5,7.3,1976-05-01
233,1976,6,7.5,1976-06-01
234,1976,7,7.8,1976-07-01
235,1976,8,7.9,1976-08-01
236,1976,9,7.8,1976-09-01
237,1976,10,7.9,1976-10-01
238,1976,11,8.1,1976-11-01
239,1976,12,7.9,1976-12-01
240,1977,1,7.3,1977-01-01
241,1977,2,7.5,1977-02-01
242,1977,3,7.3,1977-03-01
243,1977,4,7.0,1977-04-01
244,1977,5,6.9,1977-05-01
245,1977,6,7.1,1977-06-01
246,1977,7,6.9,1977-07-01
247,1977,8,7.1,1977-08-01
248,1977,9,6.9,1977-09-01
249,1977,10,7.0,1977-10-01
250,1977,11,6.9,1977-11-01
251,1977,12,6.4,1977-12-01
252,1978,1,6.3,1978-01-01
253,1978,2,6.1,1978-02-01
254,1978,3,6.2,1978-03-01
