Indicator,Var_name,Frequency,Include?,Data Source,OG Data Source,Quandl Key,Confirmed,Dating Back To,URL,Notes,Time Lag,Revision Notes,Standardize,Solution,Feb Publish
US ISM PMI,PMI,Monthly,Yes,Trading Economics,ISM,SGE/USABCONF,Yes,01/01/48,https://www.quandl.com/data/SGE/USABCONF-United-States-ISM-Purchasing-Managers-Index-PMI,,Comes out for the last month on the first of the next month,"According to Moody's, never revised https://www.economy.com/united-states/purchasing-managers-index",Yes,,56.6
US UNR,UNR,Monthly,Yes,Trading Economics,BLS,SGE/USAUNR,Yes,01/01/48,https://www.quandl.com/data/SGE/USAUNR-United-States-Unemployment-Rate,,Comes out the first Friday of every month,"Revised frequently up to 2 months and  up to 5 years out https://www.economy.com/united-states/unemployment-rate, https://www.bls.gov/web/empsit/cesvininfo.htm revisions can be significant and can happen after the fact. This article argues that the revisions between revised and unrevised are insignificant (https://www.philosophicaleconomics.com/2016/02/uetrend/)",Yes,Reached out to BLS re unrevised numbers,4
US Youth UNR,YUNR,Monthly,Yes,Trading Economics,BLS,SGE/USAUNRY,Yes,01/01/55,https://www.quandl.com/data/SGE/USAUNRY-United-States-Youth-Unemployment-Rate,,1 month time lag but releases at the end of the month so almost 2,Assuming same issue as UNR,Yes,Reach out to BLS,9.1
US Consumer Sentiment,CONS_SENT,Monthly,Yes,Trading Economics,Umichigan,SGE/USACNCN,Yes,11/30/52,https://www.quandl.com/data/SGE/USACNCN-United-States-Consumer-Sentiment,"looks like was a quarterly metric up until 1977,https://data.sca.isr.umich.edu/survey-info.php",Released at the end of every month,No revision,Yes,,93.8
US Part Time For Economic Reasons,PART_TIME,Monthly,Yes,FRED,BLS,FRED/LNS12032199,Yes,05/01/55,https://www.quandl.com/data/FRED/LNS12032199-Employment-Level-Part-Time-for-Economic-Reasons-Could-Only-Find-Part-Time-Work-Nonagricultural-Industries,,Same as UNR,Assuming same issue as UNR,No,Reach out to BLS,1401
Copper and Copper Products,CPPR_PRICE,Monthly,Yes,FRED,BLS,FRED/WPUSI019011,Yes,01/01/67,https://www.quandl.com/data/FRED/WPUSI019011-Producer-Price-Index-by-Commodity-for-Special-Indexes-Copper-and-Copper-Products,,Releases around the 10th of every month going 1 month back,Annual Revisions are made to the seasonally adjusted data for the past 5 years,No,Ask Evan re revisions to PPI,374.3
Housing Permits,HOUS_PERMS,Monthly,Yes,FRED,US Census,FRED/PERMIT,Yes,01/01/60,https://www.quandl.com/data/FRED/PERMIT-New-Private-Housing-Units-Authorized-by-Building-Permits,,Releases around the 20th of every month for the previous month,Not seeing significant revision,Yes,https://www.census.gov/construction/nrc/pdf/bpua.pdf,1317
Housing Starts,HOUS_STARTS,Monthly,Yes,FRED,US Census,FRED/HOUST,Yes,01/01/59,https://www.quandl.com/data/FRED/HOUST-Housing-Starts-Total-New-Privately-Owned-Housing-Units-Started,,1 month,Not seeing significant revision,Yes,,1273
Capacity Utilization: Total Industry,CAP_UTIL,Monthly,Yes,FRED,Federal Reserve,FRED/TCU,Yes,01/01/67,https://www.quandl.com/data/FRED/TCU-Capacity-Utilization-Total-Industry,,1 month lag,Revised in the 3 months prior to release,Yes,,79.23
Personal Savings Rate,PERS_SAVINGS,Monthly,Yes,Trading Economics,BEA,SGE/USAPSAV,Yes,01/01/59,https://www.quandl.com/data/SGE/USAPSAV-United-States-Personal-Savings-Rate,,3 month lag,Revised,Yes,Email James Rankin - can be found here,6.2
US Exports,EXPORTS,Monthly,Yes,Trading Economics,BEA,SGE/USAEXVOL,Yes,01/01/50,https://www.quandl.com/data/SGE/USAEXVOL-United-States-Exports,,3 momnth lag,,No,,"209,062"
