Indicator,Var_name,Frequency,Include?,Data Source,Quandl Key,Confirmed,Dating Back To,URL,Notes,
US ISM PMI,PMI,Monthly,Yes,Trading Economics,SGE/USABCONF,Yes,01/01/48,,,
US UNR,UNR,Monthly,Yes,Trading Economics,SGE/USAUNR,Yes,01/01/48,,,
US Youth UNR,YUNR,Monthly,Yes,Trading Economics,SGE/USAUNRY,Yes,01/01/55,,,
US GDP,GDP,Quarterly,Yes,FRED,FRED/GDP,Yes,01/01/47,,,
US Consumer Sentiment,CONS_SENT,Monthly,Yes,Trading Economics,SGE/USACNCN,Yes,11/30/52,https://www.quandl.com/data/SGE/USACNCN-United-States-Consumer-Sentiment,,
US Existing Home Sales,HOME_SALES,Monthly,Yes,Trading Economics,SGE/USAEHS,Yes,01/31/68,https://www.quandl.com/data/SGE/USAEHS-United-States-Existing-Home-Sales,,
US Part Time For Economic Reasons,PART_TIME,Monthly,Yes,FRED,FRED/LNS12032199,Yes,05/01/55,https://www.quandl.com/data/FRED/LNS12032199-Employment-Level-Part-Time-for-Economic-Reasons-Could-Only-Find-Part-Time-Work-Nonagricultural-Industries,,
Copper and Copper Products,CPPR_PRICE,Monthly,Yes,FRED,FRED/WPUSI019011,Yes,01/01/67,https://www.quandl.com/data/FRED/WPUSI019011-Producer-Price-Index-by-Commodity-for-Special-Indexes-Copper-and-Copper-Products,,
Housing Permits,HOUS_PERMS,Monthly,Yes,FRED,FRED/PERMIT,Yes,01/01/60,https://www.quandl.com/data/FRED/PERMIT-New-Private-Housing-Units-Authorized-by-Building-Permits,,
Housing Starts,HOUS_STARTS,Monthly,Yes,FRED,FRED/HOUST,Yes,01/01/59,https://www.quandl.com/data/FRED/HOUST-Housing-Starts-Total-New-Privately-Owned-Housing-Units-Started,,
Capacity Utilization: Total Industry,CAP_UTIL,Monthly,Yes,FRED,FRED/TCU,Yes,01/01/67,https://www.quandl.com/data/FRED/TCU-Capacity-Utilization-Total-Industry,,
Personal Savings Rate,PERS_SAVINGS,Monthly,Yes,Trading Economics,SGE/USAPSAV,Yes,01/01/59,https://www.quandl.com/data/SGE/USAPSAV-United-States-Personal-Savings-Rate,,
US Exports,EXPORTS,Monthly,Yes,Trading Economics,SGE/USAEXVOL,Yes,01/01/50,https://www.quandl.com/data/SGE/USAEXVOL-United-States-Exports,,
US Imports,IMPORTS,Monthly,Yes,Trading Economics,SGE/USAIMVOL,Yes,01/01/50,https://www.quandl.com/data/SGE/USAIMVOL-United-States-Imports,,
US Trade Balance,TRADE_BALANCE,Monthly,Yes,Trading Economics,SGE/USABOT,Yes,01/01/50,https://www.quandl.com/data/SGE/USABOT-United-States-Balance-of-Trade,,
Federal Funds Rate,INT_RATE,Monthly,Yes,FRED,FRED/FEDFUNDS,Yes,07/01/54,https://www.quandl.com/data/FRED/FEDFUNDS-Effective-Federal-Funds-Rate,,
M2,US_M2,Monthly,Yes,Trading Economics,SGE/USAM2,Yes,01/01/59,https://www.quandl.com/data/SGE/USAM2-United-States-Money-Supply-M2,"Savings, deposits, small denominations",
New Home Sales,US_NHOME_SALES,Monthly,Yes,Trading Economics,SGE/USANHS,Yes,01/01/63,https://www.quandl.com/data/SGE/USANHS-United-States-New-Home-Sales,,
PPI,PPI,Monthly,Yes,FRED,FRED/PPIACO,Yes,01/01/13,https://www.quandl.com/data/FRED/PPIACO-Producer-Price-Index-for-All-Commodities,,2 Month
CPI,CPI,Monthly,Yes,FRED,FRED/USACPIALLMINMEI,Yes,1/1/55,https://www.quandl.com/data/FRED/USACPIALLMINMEI-Consumer-Price-Index-All-Items-for-the-United-States,Only goes to 2016,
3-Year Treasury Constant Maturity,3YRT,Daily,Yes,FRED,FRED/DGS3,Yes,1/1/62,https://www.quandl.com/data/FRED/DGS3-3-Year-Treasury-Constant-Maturity-Rate,,
