Indicator,Var_name,Frequency,Include?,Data Source,Quandl Key,Confirmed,Dating Back To,URL,Notes
US ISM PMI,PMI,Monthly,Yes,Trading Economics,SGE/USABCONF,Yes,01/01/48,,
US UNR,UNR,Monthly,Yes,Trading Economics,SGE/USAUNR,Yes,01/01/48,,
US Youth UNR,YUNR,Monthly,Yes,Trading Economics,SGE/USAUNRY,Yes,01/01/55,,
US GDP,GDP,Quarterly,Yes,FRED,FRED/GDP,Yes,01/01/47,,
US Total Vehicle Sales,T_AUTO,Monthly,Maybe,Trading Economics,SGE/USATVS,Yes,01/31/93,https://www.quandl.com/data/SGE/USATVS-United-States-Total-Vehicle-Sales,
US Retail Sales YoY,RET_SALES_YOY,Monthly,Maybe,Trading Economics,SGE/USARSY,Yes,01/31/93,https://www.quandl.com/data/SGE/USARSY-United-States-Retail-Sales-YoY,
US Consumer Sentiment,CONS_SENT,Monthly,Yes,Trading Economics,SGE/USACNCN,Yes,11/30/52,https://www.quandl.com/data/SGE/USACNCN-United-States-Consumer-Sentiment,
US Existing Home Sales,HOME_SALES,Monthly,Yes,Trading Economics,SGE/USAEHS,Yes,01/31/68,https://www.quandl.com/data/SGE/USAEHS-United-States-Existing-Home-Sales,
US Part Time For Economic Reasons,PART_TIME,Monthly,Yes,FRED,FRED/LNS12032199,Yes,05/01/55,https://www.quandl.com/data/FRED/LNS12032199-Employment-Level-Part-Time-for-Economic-Reasons-Could-Only-Find-Part-Time-Work-Nonagricultural-Industries,
US Book-To-Bill Ratio (semiconductors),BK_BILL,Monthly,No,TBD,,,,,
Copper and Copper Products,CPPR_PRICE,Monthly,Yes,FRED,FRED/WPUSI019011,Yes,01/01/67,https://www.quandl.com/data/FRED/WPUSI019011-Producer-Price-Index-by-Commodity-for-Special-Indexes-Copper-and-Copper-Products,
Durable Good Orders,DUR_ORDERS,Monthly,Maybe,FRED,FRED/DGORDER,Yes,02/01/92,https://www.quandl.com/data/FRED/DGORDER-Manufacturers-New-Orders-Durable-Goods,
Housing Permits,HOUS_PERMS,Monthly,Yes,FRED,FRED/PERMIT,Yes,01/01/60,https://www.quandl.com/data/FRED/PERMIT-New-Private-Housing-Units-Authorized-by-Building-Permits,
Housing Starts,HOUS_STARTS,Monthly,Yes,FRED,FRED/HOUST,Yes,01/01/59,https://www.quandl.com/data/FRED/HOUST-Housing-Starts-Total-New-Privately-Owned-Housing-Units-Started,
Industrial Production,IND_PROD,Monthly,Maybe,Trading Economics,SGE/USAIP,Yes,01/01/20,https://www.quandl.com/data/SGE/USAIP-United-States-Industrial-Production,Weird units
Capacity Utilization: Total Industry,CAP_UTIL,Monthly,Yes,FRED,FRED/TCU,Yes,01/01/67,https://www.quandl.com/data/FRED/TCU-Capacity-Utilization-Total-Industry,
JoC-ECRI Industrial Price Index,,,,,,,,,"Can't find, try substituting PPI"
Personal Savings Rate,PERS_SAVINGS,Monthly,Yes,Trading Economics,SGE/USAPSAV,Yes,01/01/59,https://www.quandl.com/data/SGE/USAPSAV-United-States-Personal-Savings-Rate,
Unit Labor Costs,UNIT_LABOR,Quarterly,No,Trading Economics,,,,https://www.quandl.com/data/SGE/USALC-United-States-Nonfarm-Unit-Labour-Cost,
